ParName   Value   Gradient
rec_dev_est(1998)     0.146858  0.000342265
rec_dev_est(1999)    -0.400348   5.1747e-05
rec_dev_est(2000)     -1.23778  2.99045e-07
rec_dev_est(2001)    -0.326282  0.000139301
rec_dev_est(2002)    -0.128555  7.96713e-05
rec_dev_est(2003)      1.01413  0.000345868
rec_dev_est(2004)    -0.194786  0.000229932
rec_dev_est(2005)    -0.552547  5.84322e-05
rec_dev_est(2006)     -1.35203 -4.40246e-05
rec_dev_est(2007)   -0.0211907 -0.000282841
rec_dev_est(2008)     0.878622 -0.000478929
rec_dev_est(2009)    -0.747518 -8.98398e-05
rec_dev_est(2010)    -0.743916 -0.000100586
rec_dev_est(2011)     -1.02213 -3.26295e-05
rec_dev_est(2012)   -0.0427978 -1.36635e-05
rec_dev_est(2013)    -0.385917 -0.000145426
rec_dev_est(2014)       1.4174 -0.000320652
rec_dev_est(2015)      1.45125  6.48346e-06
rec_dev_est(2016)      1.37052  1.55272e-06
rec_dev_est(2017)    -0.441064  7.54351e-06
rec_dev_est(2018)    -0.660317   4.5329e-05
rec_dev_est(2019)     -1.12894  1.94381e-05
rec_dev_est(2020)    -0.262643 -2.74646e-06
rec_dev_est(2021)    -0.225643 -4.06657e-06
rec_dev_est(2022)     0.795289 -4.07995e-06
rec_dev_est(2023)     0.456448 -4.20753e-06
logit_rec_prop_est(1982)       4.1245 -3.09174e-05
logit_rec_prop_est(1983)      4.54424 -0.000103908
logit_rec_prop_est(1984)      3.98589  -7.8532e-06
logit_rec_prop_est(1985)     -1.88641 -0.000186068
logit_rec_prop_est(1986)     -2.46788  -4.5672e-05
logit_rec_prop_est(1987)    0.0548132  0.000258948
logit_rec_prop_est(1988)     0.267716  0.000232607
logit_rec_prop_est(1989)     0.958843  7.45091e-05
logit_rec_prop_est(1990)       1.4679  -0.00010855
logit_rec_prop_est(1991)      0.77098 -0.000209841
logit_rec_prop_est(1992)     -1.90821 -0.000361778
logit_rec_prop_est(1993)     -1.73685 -0.000946623
logit_rec_prop_est(1994)     -2.12863 -0.000332269
logit_rec_prop_est(1995)     -1.08736 -0.000175118
logit_rec_prop_est(1996)      1.10867  7.78626e-05
logit_rec_prop_est(1997)     -1.66426  0.000518675
logit_rec_prop_est(1998)    -0.562915   0.00202321
logit_rec_prop_est(1999)     -1.26335  0.000595158
logit_rec_prop_est(2000)     -1.89999  3.33557e-05
logit_rec_prop_est(2001)      1.29324  0.000370326
logit_rec_prop_est(2002)   -0.0382375  0.000900612
logit_rec_prop_est(2003)     -1.20065   0.00156892
logit_rec_prop_est(2004)     0.602217   0.00029953
logit_rec_prop_est(2005)    -0.338898  0.000162298
logit_rec_prop_est(2006)     0.881411 -4.74424e-05
logit_rec_prop_est(2007)      -1.0192 -0.000681848
logit_rec_prop_est(2008)     -1.33057  -0.00275897
logit_rec_prop_est(2009)     -1.73482  -0.00048071
logit_rec_prop_est(2010)    -0.917808 -0.000519324
logit_rec_prop_est(2011)    -0.610771 -0.000177321
logit_rec_prop_est(2012)    -0.225709 -0.000158364
logit_rec_prop_est(2013)      1.23803 -0.000115467
logit_rec_prop_est(2014)      1.11201 -0.000692213
logit_rec_prop_est(2015)    -0.509354  0.000210065
logit_rec_prop_est(2016)     -3.31676 -6.69663e-05
logit_rec_prop_est(2017)     -2.01103 -2.63459e-05
logit_rec_prop_est(2018)      4.46552 -7.50687e-05
logit_rec_prop_est(2019)     -2.37585 -1.67521e-05
logit_rec_prop_est(2020)      1.92202 -7.40375e-05
logit_rec_prop_est(2021)      1.39151 -2.70526e-05
logit_rec_prop_est(2022)      1.47469  1.43907e-05
logit_rec_prop_est(2023)     0.571307 -2.26227e-05
